endTime,artistName,trackName,msPlayed,genres
2022-12-15 17:02,Ariana Grande,motive (with Doja Cat),131011,['pop']
2022-12-15 17:05,Ariana Grande,Into You,197866,['pop']
2022-12-15 17:08,Ariana Grande,Side To Side,171200,['pop']
2022-12-15 18:29,Post Malone,Candy Paint,1194,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-15 18:32,Post Malone,Circles,215280,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-15 18:36,Post Malone,rockstar (feat. 21 Savage),218146,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-15 18:38,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,157560,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-15 18:42,Post Malone,Congratulations,220293,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-15 18:45,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,158040,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-15 18:48,Post Malone,One Right Now (with The Weeknd),193506,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-15 18:51,Post Malone,Wow.,149546,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-15 18:55,Post Malone,Better Now,231266,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-15 18:56,Post Malone,Cooped Up (with Roddy Ricch),13682,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-16 16:00,TVN,1%,181333,[]
2022-12-16 16:03,TVN,1%,181333,[]
2022-12-16 16:06,TVN,1%,181333,[]
2022-12-16 16:24,TVN,1%,116452,[]
2022-12-17 03:48,Doja Cat,Freak,186581,"['dance pop', 'pop']"
2022-12-17 03:54,Post Malone,I Like You (A Happier Song) (with Doja Cat),853,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-17 03:54,Doja Cat,Streets,1173,"['dance pop', 'pop']"
2022-12-17 03:54,TVN,1%,321450,[]
2022-12-17 03:54,Post Malone,Better Now,832,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-17 03:55,Doja Cat,Streets,97685,"['dance pop', 'pop']"
2022-12-17 04:01,Mohan Kannan,Yaariyaan - Male Vocals,374173,['modern bollywood']
2022-12-17 04:07,Lana Del Rey,Change,321200,"['art pop', 'pop']"
2022-12-17 04:10,Paul McCartney,Fuh You,203719,"['classic rock', 'mellow gold', 'rock']"
2022-12-17 04:11,Heathens,Heathens,22158,"['austin americana', 'classic texas country', 'modern southern rock']"
2022-12-17 04:12,Ramin Djawadi,Be with Me,105052,"['german soundtrack', 'orchestral soundtrack', 'scorecore', 'soundtrack']"
2022-12-17 04:22,Post Malone,Psycho (feat. Ty Dolla $ign),17562,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-17 04:28,Lauv,Mean It,232853,['pop']
2022-12-17 04:34,Harry Styles,Fine Line,377960,['pop']
2022-12-17 04:37,Jeremy Zucker,comethru,181613,"['alt z', 'electropop', 'pop']"
2022-12-17 04:40,The Weeknd,Blinding Lights,200040,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-17 04:42,A.R. Rahman,Heer,132232,['filmi']
2022-12-17 04:47,Harry Styles,Matilda,245964,['pop']
2022-12-17 04:47,Mac Miller,Surf,4564,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
2022-12-17 04:47,Harry Hudson,A song I wrote after therapy,33536,['pop r&b']
2022-12-17 04:48,"Earth, Wind & Fire",September,0,"['disco', 'funk', 'jazz funk', 'soul']"
2022-12-17 04:48,Black Eyed Peas,Where Is The Love?,1088,"['dance pop', 'pop', 'pop rap']"
2022-12-17 04:48,Lorde,Buzzcut Season,874,"['art pop', 'metropopolis', 'nz pop', 'pop']"
2022-12-17 04:48,Billy Joel,Uptown Girl,533,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
2022-12-17 04:48,Dean Lewis,Be Alright,896,"['australian pop', 'pop']"
2022-12-17 04:48,Dean Lewis,Be Alright,15424,"['australian pop', 'pop']"
2022-12-17 04:48,Twenty One Pilots,Ride,938,"['modern rock', 'pop', 'pov: indie', 'rock']"
2022-12-17 04:48,New West,Those Eyes,6037,['toronto indie']
2022-12-17 04:48,Queen,Bohemian Rhapsody - Remastered 2011,682,"['classic rock', 'glam rock', 'rock']"
2022-12-17 04:48,John Mayer,Edge of Desire,2752,"['neo mellow', 'singer-songwriter']"
